AddNum,StPreDir,StName,StSuffix,Zip4,Name,geometry,longitude,latitude,jointadd
4685,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.332095893 43.55978625000006),-116.33209589299997,43.55978625000006,4685 S WHITMORE WAY
4778,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333289748 43.55957623000006),-116.33328974799997,43.55957623000006,4778 S WILDBROOK AVE
4742,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331006378 43.55953693700008),-116.33100637799998,43.559536937000075,4742 S WHITMORE WAY
4781,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332358588 43.55940500900005),-116.33235858799998,43.559405009000045,4781 S GREENACRES WAY
4717,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331680745 43.55959428200003),-116.33168074499997,43.559594282000035,4717 S WHITMORE WAY
4729,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331484895 43.55952619000004),-116.33148489499996,43.55952619000004,4729 S WHITMORE WAY
4782,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.331954282 43.55936170500007),-116.33195428199997,43.55936170500007,4782 S GREENACRES WAY
4731,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331293669 43.55944898500007),-116.33129366899999,43.559448985000074,4731 S WHITMORE WAY
4743,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.3310849 43.55931310000005),-116.33108489999995,43.559313100000054,4743 S WHITMORE WAY
4818,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332094233 43.55920651400004),-116.33209423299996,43.55920651400004,4818 S GREENACRES WAY
4791,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.330480458 43.55895596000005),-116.33048045799995,43.55895596000005,4791 S WHITMORE WAY
10951,W,AMITY,RD,83709,LaGrande,POINT (-116.318494046 43.56093975100003),-116.31849404599996,43.560939751000035,10951 W AMITY RD
4754,S,MUSTANG CREEK,LN,83709,LaGrande,POINT (-116.319612051 43.55987622300006),-116.31961205099998,43.55987622300006,4754 S MUSTANG CREEK LN
4800,S,MUSTANG CREEK,LN,83709,LaGrande,POINT (-116.320023105 43.55841424900007),-116.32002310499996,43.558414249000066,4800 S MUSTANG CREEK LN
11334,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.323132378 43.54919070800003),-116.32313237799997,43.549190708000026,11334 W HAZELWOOD DR
11335,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.323407603 43.54905265300005),-116.32340760299996,43.54905265300005,11335 W HAZELWOOD DR
11323,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.323158063 43.54874300100005),-116.323158063,43.54874300100005,11323 W HAZELWOOD DR
11232,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.322046687 43.54864016000005),-116.32204668699995,43.54864016000005,11232 W HAZELWOOD DR
11218,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.321835479 43.54863881300003),-116.32183547899996,43.548638813000025,11218 W HAZELWOOD DR
11168,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.3210859659999 43.54857185500003),-116.32108596599994,43.548571855000034,11168 W HAZELWOOD DR
11124,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.320786167 43.54864405700005),-116.320786167,43.54864405700005,11124 W HAZELWOOD DR
11244,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.322250178 43.54862423300006),-116.32225017799999,43.548624233000055,11244 W HAZELWOOD DR
11190,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.321618523 43.54862739200007),-116.32161852299998,43.54862739200007,11190 W HAZELWOOD DR
11136,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.3209764429999 43.54862579200005),-116.32097644299995,43.54862579200005,11136 W HAZELWOOD DR
11102,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.32061236 43.54861029600005),-116.32061235999998,43.54861029600005,11102 W HAZELWOOD DR
